id,tokens_pos,label
1467933112,"[('the', 'DT'), ('angel', 'NN'), ('is', 'VBZ'), ('going', 'VBG'), ('to', 'TO'), ('miss', 'VB'), ('the', 'DT'), ('athlete', 'NN'), ('this', 'DT'), ('weekend', 'NN')]",0
2323395086,"[('It', 'PRP'), ('looks', 'VBZ'), ('as', 'IN'), ('though', 'IN'), ('Shaq', 'NNP'), ('is', 'VBZ'), ('getting', 'VBG'), ('traded', 'VBN'), ('to', 'TO'), ('Cleveland', 'NNP'), ('to', 'TO'), ('play', 'VB'), ('w', 'JJ'), ('/', 'NNP'), ('LeBron', 'NNP'), ('...', ':'), ('Too', 'NNP'), ('bad', 'JJ'), ('for', 'IN'), ('Suns', 'NNP'), (""'"", 'POS'), ('fans', 'NNS'), ('.', '.'), ('The', 'DT'), ('Big', 'NNP'), ('Cactus', 'NNP'), ('is', 'VBZ'), ('no', 'DT'), ('more', 'RBR')]",0
1467968979,"[('APRIL', 'NNP'), ('9TH', 'CD'), (""ISN'T"", 'NNP'), ('COMING', 'NNP'), ('SOON', 'NNP'), ('ENOUGH', 'NNP')]",0
1990283756,"[('drinking', 'VBG'), ('a', 'DT'), ('McDonalds', 'NNP'), ('coffee', 'NN'), ('and', 'CC'), ('not', 'RB'), ('understanding', 'JJ'), ('why', 'WRB'), ('someone', 'NN'), ('would', 'MD'), ('hurt', 'VB'), ('me', 'PRP'), ('for', 'IN'), ('no', 'DT'), ('apparent', 'JJ'), ('reason', 'NN'), ('.', '.')]",0
1988884918,"[('So', 'RB'), ('dissapointed', 'JJ'), ('Taylor', 'NNP'), ('Swift', 'NNP'), ('doesnt', 'NN'), ('have', 'VBP'), ('a', 'DT'), ('Twitter', 'NN')]",0
1467984364,"[('Wishes', 'NNS'), ('I', 'PRP'), ('was', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('Spring', 'NN'), ('Fling', 'VBG'), ('Tour', 'NNP'), ('with', 'IN'), ('Dawn', 'NNP'), ('&', 'CC'), ('amp', 'NN')]",0
1964951623,"[('got', 'VBD'), ('a', 'DT'), ('sniffle', 'NN'), (',', ','), ('got', 'VBD'), ('the', 'DT'), ('kids', 'NNS'), ('and', 'CC'), ('hubby', 'NN'), ('just', 'RB'), ('left', 'VBD'), ('to', 'TO'), ('work', 'VB'), ('in', 'IN'), ('Sydney', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('weekend', 'NN'), (',', ','), ('boo', 'NN'), ('hoo', 'NN')]",0
1881133744,"[(""i've"", 'NN'), ('only', 'RB'), ('been', 'VBN'), ('in', 'IN'), ('sydney', 'NN'), ('for', 'IN'), ('3', 'CD'), ('hrs', 'NN'), ('but', 'CC'), ('I', 'PRP'), ('miss', 'VBP'), ('my', 'PRP$'), ('friends', 'NNS'), ('especially', 'RB'), ('!', '.'), ('!', '.'), ('!', '.')]",0
1753802024,"[('xboxtweet', 'NN'), ('not', 'RB'), ('working', 'VBG'), ('again', 'RB')]",0
1980497384,"[('R', 'NNP'), ('.', '.'), ('I', 'PRP'), ('.', '.'), ('P', 'VB'), ('to', 'TO'), ('lebron', 'VB'), ('/', 'NNP'), ('kobe', 'NNP'), ('puppet', 'NN'), ('commercials', 'NNS'), ('...', ':')]",0
